POSTE;NOM;LON;LAT;ALT;DATE;RR;QRR;TN;QTN;TX;QTX;TM;QTM;FFM;QFFM;UN;QUN;UX;QUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;UM;QUM
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200421;0;v;9,4;v;20;v;14,5;v;6,3;v;26;v;47;v;899;t;0;t;38;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200422;0;v;10;v;22;v;15,3;v;4,8;v;24;v;49;v;959;t;0;t;36;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200423;0;v;5,9;v;23,5;v;15,4;v;2;v;18;v;67;v;672;t;0;t;41;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200424;0;v;7,6;v;23,7;v;16,7;v;3,4;v;26;v;68;v;570;t;0;t;44;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200425;0;v;9,2;v;20,7;v;14,7;v;2,5;v;21;v;77;v;705;t;0;t;46;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200426;0;v;6,6;v;21,9;v;13,8;v;2,1;v;28;v;74;v;444;t;0;t;53;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200427;2,6;v;7,5;v;23,9;v;16,1;v;3;v;23;v;88;v;617;t;27;t;47;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200428;0,2;v;12;v;17,4;v;13,4;v;5,6;v;51;v;96;v;0;t;635;t;76;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200429;5,2;v;10;v;17,9;v;12,7;v;6,5;v;39;v;92;v;23;t;643;t;71;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200430;4,8;v;9;v;13,8;v;11;v;7,5;v;63;v;95;v;0;t;870;t;80;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200501;7,8;v;7,9;v;13,5;v;9,9;v;6,2;v;70;v;95;v;0;t;1028;t;83;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200502;0;v;5,6;v;14,4;v;9,6;v;4,1;v;46;v;96;v;0;t;636;t;71;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200503;0,6;v;3,4;v;17,8;v;12,2;v;3,2;v;35;v;94;v;298;t;443;t;63;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200504;0;v;10,8;v;20,2;v;15,1;v;3,6;v;53;v;97;v;0;t;478;t;73;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200505;0;v;9,1;v;16,3;v;12;v;4,7;v;41;v;79;v;0;t;0;t;59;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200506;0;v;8;v;18;v;12,6;v;4,6;v;24;v;55;v;678;t;0;t;40;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200507;0;v;3,1;v;22,7;v;14,2;v;1,8;v;20;v;80;v;647;t;15;t;45;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200508;1;v;6,9;v;24,6;v;17,6;v;1,9;v;31;v;79;v;254;t;0;t;54;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200509;0,4;v;12,8;v;22,7;v;16,5;v;2;v;54;v;93;v;0;t;430;t;74;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200510;23,5;v;13,8;v;24,9;v;18,6;v;3,4;v;42;v;97;v;0;t;486;t;70;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200511;27,2;v;3,4;v;7,4;v;6,1;v;5,4;v;82;v;97;v;0;t;1440;t;94;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200512;0;v;1;v;12,4;v;7,1;v;3,4;v;40;v;98;v;6;t;376;t;66;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200513;0;v;3,9;v;14,9;v;9,6;v;3,3;v;48;v;92;v;0;t;257;t;63;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200514;0;v;4;v;14,6;v;10,5;v;5;v;47;v;88;v;0;t;131;t;60;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200515;0;v;5,9;v;18,2;v;12,1;v;3,1;v;35;v;71;v;252;t;0;t;54;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200516;0;v;3,5;v;19,6;v;12,5;v;2,2;v;30;v;82;v;471;t;45;t;54;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200517;0;v;4,3;v;18,8;v;12,7;v;2,6;v;35;v;91;v;255;t;221;t;59;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200518;0;v;7,2;v;22,2;v;15,7;v;2,1;v;35;v;82;v;259;t;48;t;56;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200519;0;e;9,5;e;24,1;e;17,8;v;2,8;v;21;e;79;e;540;t;0;t;49;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200520;0;v;11;v;25,1;v;18,9;v;2,4;v;43;v;89;v;0;t;263;t;62;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200521;0;v;11;v;26,8;v;20,3;v;1,7;v;36;v;97;v;162;t;351;t;62;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200522;0,2;v;12,2;v;25,7;v;20,3;v;3,8;v;46;v;89;v;0;t;217;t;66;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200523;9,5;v;8,6;v;14,5;v;11,7;v;3,6;v;64;v;97;v;0;t;1022;t;85;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200524;0;v;8,4;v;17,9;v;12,7;v;2,7;v;47;v;97;v;0;t;662;t;74;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200525;0;v;7,3;v;20,2;v;14,6;v;2,9;v;45;v;98;v;0;t;417;t;69;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200526;0;v;8;v;21,9;v;16,2;v;3,8;v;31;v;97;v;460;t;314;t;56;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200527;0;v;8,4;v;22,9;v;16,8;v;2,7;v;33;v;81;v;530;t;19;t;52;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200528;0;v;9,2;v;22,9;v;16,9;v;3,8;v;32;v;90;v;575;t;239;t;53;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200529;0;v;9,5;v;21,4;v;16,2;v;5,1;v;29;v;57;v;656;t;0;t;42;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200530;0;v;9,6;v;21,8;v;16,4;v;5;v;27;v;66;v;650;t;0;t;44;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200531;0;v;10,6;v;21,4;v;16,4;v;5,3;v;31;v;58;v;642;t;0;t;44;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200601;0;v;10;v;26,2;v;19;v;3,9;v;33;v;69;v;558;t;0;t;47;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200602;0;v;11,5;v;27,9;v;20,7;v;1,8;v;25;v;79;v;624;t;0;t;48;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200603;1;v;12,4;v;27,3;v;19,8;v;2,8;v;29;v;89;v;301;t;135;t;57;v
